Rank,Country,Score,Economy,Family,Health,Freedom,Generosity,Trust
135,Afghanistan,2.566900015,0.7462860584000001,0.470366955,0.5259000015,0.396573007,-0.0964294,0.933686554
96,Albania,4.882699966,0.9417930603,0.671070457,0.6870813751,0.781994224,-0.042309489,0.896303713
92,Algeria,5.005099773,0.9537964820999999,0.803385139,0.6590517426,0.466610909,-0.121105164,0.735485137
51,Argentina,5.974699974,0.9810955048000001,0.900567949,0.6880380249,0.831132412,-0.194913864,0.842009842
106,Armenia,4.676799774,0.9100476264999999,0.757479429,0.6675065613,0.712017834,-0.13877961,0.773544788
11,Australia,7.222799778,1.072059631,0.944854617,0.7360453796,0.915431738,0.19046016,0.41516912
8,Austria,7.294199944,1.07428236,0.928045869,0.7300250244,0.899989486,0.085429221,0.499954879
82,Azerbaijan,5.164800167,0.9687726974,0.819308281,0.6550839996000001,0.786824107,-0.240255281,0.55253756
37,Bahrain,6.227300167,1.067638016,0.876342118,0.685,0.905855775,0.13372919,0.7393471
98,Bangladesh,4.832799911,0.8287063599,0.687292993,0.6450306702,0.90062499,-0.033664726,0.661843538
71,Belarus,5.539899826,0.9779945374000001,0.90674746,0.6610433197000001,0.639163077,-0.164926544,0.63571167
19,Belgium,6.863500118,1.06736393,0.911632538,0.7200164795,0.813582063,-0.078691199,0.612297952
80,Benin,5.21600008,0.7674319744,0.468671143,0.5431246567,0.735182583,-0.003537213,0.740532577
61,Bolivia,5.747499943,0.8851115226999999,0.803108692,0.636004715,0.875873327,-0.09168113,0.822606206
65,Bosnia and Herzegovina,5.674099922,0.9455817223,0.829204142,0.6780813599,0.651352704,0.098274559,0.933769107
131,Botswana,3.478899956,0.9711203575,0.779121757,0.5892445373999999,0.821328104,-0.250394493,0.777930915
29,Brazil,6.375599861,0.9566434859999999,0.896723807,0.6648016357000001,0.799804807,-0.101812392,0.770601273
88,Bulgaria,5.101500034,0.9869318962,0.937840343,0.6680397797000001,0.745178163,-0.143908441,0.935585141
103,Burkina Faso,4.768700123,0.746854496,0.712943614,0.5388945388999999,0.665563583,-0.019080516,0.739795029
125,Burundi,3.775300026,0.6492642403,0.490325719,0.5340000153,0.626350224,-0.017551597,0.606934547
97,Cambodia,4.848400116,0.8249890326999999,0.773080647,0.6152996826,0.959704638,0.051911179,0.822769046
90,Cameroon,5.084899902,0.8118647575000001,0.700386405,0.527049408,0.763051808,-0.00149645,0.851336598
10,Canada,7.23210001,1.0692368509999999,0.927176654,0.7360160065,0.933913231,0.124770768,0.390843362
115,Chad,4.422699928,0.7467963696,0.632388055,0.48220539090000003,0.587305248,0.017834719,0.802760839
36,Chile,6.228499889,1.00320549,0.879713595,0.6990061951,0.744896293,-0.065668367,0.838239431
86,China,5.123899937,0.9688568115,0.798760593,0.692891922,0.898517907,-0.18142575,0.7539711
40,Colombia,6.163400173,0.9500369072,0.884440243,0.6769958495999999,0.836179912,-0.161235645,0.86457181
81,Congo (Brazzaville),5.194399834,0.8536987305,0.640228093,0.5792448044,0.719058514,-0.123674095,0.751779079
14,Costa Rica,7.121399879,0.9658156395,0.901545942,0.7129985046,0.934738934,-0.10242971,0.786332428
73,Croatia,5.504700184,1.007087517,0.874623716,0.7021490479000001,0.714838803,-0.128538325,0.916495264
41,Cyprus,6.15899992,1.040570259,0.805996239,0.7370222473,0.779858291,0.043731496,0.856271744
18,Czech Republic,6.910900116,1.040416336,0.914430678,0.7004793549,0.818537354,-0.230861515,0.85844624
1,Denmark,7.645599842,1.0774001119999999,0.955990791,0.7240250397,0.951444268,0.066201776,0.168489456
64,Dominican Republic,5.689199924,0.9664880753,0.882085383,0.6580748749,0.866202772,-0.131263286,0.755999923
54,Ecuador,5.925199986,0.9246058464000001,0.836418986,0.6850003815,0.859828949,-0.127014965,0.801215112
